Open,High,Low,Close,Adj Close,Volume
100.0,100.0,100.0,100.0,100.0,0
100.0,100.0,100.0,100.0,100.0,0
100.02999877929688,100.04000091552734,99.99500274658203,99.99500274658203,99.99500274658203,10725
100.01000213623047,100.02999877929688,100.01000213623047,100.02999877929688,100.02999877929688,10080
99.94999694824219,99.95999908447266,99.91999816894531,99.91999816894531,99.91999816894531,6350
99.98999786376953,99.99500274658203,99.9717025756836,99.99500274658203,99.99500274658203,650
99.97000122070312,99.9800033569336,99.94000244140625,99.94000244140625,99.94000244140625,1820
99.95999908447266,99.97000122070312,99.94000244140625,99.94000244140625,99.94000244140625,5685
99.97899627685547,99.98999786376953,99.96320343017578,99.96499633789062,99.96499633789062,3635
100.0,100.0,99.9749984741211,99.9749984741211,99.9749984741211,3985
100.0,100.0,99.94499969482422,99.94499969482422,99.94499969482422,3312
99.94999694824219,99.95999908447266,99.92500305175781,99.92500305175781,99.92500305175781,2135
99.91000366210938,99.91999816894531,99.88999938964844,99.88999938964844,99.88999938964844,126687
99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,99.84709930419922,29
99.83999633789062,99.83999633789062,99.82430267333984,99.82430267333984,99.82430267333984,320
99.77999877929688,99.77999877929688,99.75,99.75,99.75,5600
99.80999755859375,99.80999755859375,99.79000091552734,99.79000091552734,99.79000091552734,4617
99.88999938964844,99.88999938964844,99.86000061035156,99.86000061035156,99.86000061035156,3900
99.93000030517578,99.93000030517578,99.91500091552734,99.91500091552734,99.91500091552734,710
99.91000366210938,99.91000366210938,99.88500213623047,99.88500213623047,99.88500213623047,704
99.81999969482422,99.81999969482422,99.7699966430664,99.7699966430664,99.7699966430664,830
99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,99.69989776611328,29
99.70240020751953,99.70240020751953,99.70240020751953,99.70240020751953,99.70240020751953,1
99.66500091552734,99.66500091552734,99.66500091552734,99.66500091552734,99.66500091552734,1
99.95999908447266,99.9800033569336,99.95899963378906,99.97480010986328,99.97480010986328,2561
99.99870300292969,99.99870300292969,99.99870300292969,99.99870300292969,99.99870300292969,1
99.88999938964844,99.94000244140625,99.88999938964844,99.90480041503906,99.90480041503906,1001
99.70999908447266,99.74629974365234,99.70099639892578,99.74629974365234,99.74629974365234,4126
99.68900299072266,99.68900299072266,99.63999938964844,99.63999938964844,99.63999938964844,100
99.66899871826172,99.66999816894531,99.6552963256836,99.6552963256836,99.6552963256836,1004
99.78900146484375,99.79000091552734,99.77410125732422,99.77410125732422,99.77410125732422,4256
99.77059936523438,99.77059936523438,99.77059936523438,99.77059936523438,99.77059936523438,1
99.79900360107422,99.80000305175781,99.7699966430664,99.7699966430664,99.7699966430664,876
99.8499984741211,99.8499984741211,99.8499984741211,99.8499984741211,99.8499984741211,1
99.8499984741211,99.8499984741211,99.8499984741211,99.8499984741211,99.8499984741211,1
99.88999938964844,99.88999938964844,99.88999938964844,99.88999938964844,99.88999938964844,1
99.91000366210938,99.94000244140625,99.91000366210938,99.91500091552734,99.91500091552734,4981
99.89900207519531,99.9000015258789,99.88500213623047,99.88500213623047,99.88500213623047,553
99.88500213623047,99.88500213623047,99.88500213623047,99.88500213623047,99.88500213623047,1
99.95999908447266,99.95999908447266,99.91000366210938,99.91000366210938,99.91000366210938,701
99.98999786376953,99.98999786376953,99.98999786376953,99.98999786376953,99.98999786376953,1
100.06999969482422,100.06999969482422,100.04499816894531,100.04499816894531,100.04499816894531,2066
99.87999725341797,99.91899871826172,99.87999725341797,99.90059661865234,99.90059661865234,1100
99.875,99.875,99.875,99.875,99.875,1
99.9749984741211,99.9749984741211,99.9749984741211,99.9749984741211,99.9749984741211,1
99.86080169677734,99.86080169677734,99.86080169677734,99.86080169677734,99.86080169677734,1
99.9800033569336,99.9800033569336,99.95500183105469,99.95500183105469,99.95500183105469,1800
100.00900268554688,100.00900268554688,99.97000122070312,99.97000122070312,99.97000122070312,1303
99.86000061035156,99.86000061035156,99.84500122070312,99.8550033569336,99.8550033569336,1650
99.91000366210938,99.94999694824219,99.9031982421875,99.93000030517578,99.93000030517578,3907
100.01609802246094,100.01609802246094,100.01609802246094,100.01609802246094,100.01609802246094,33
100.01899719238281,100.0199966430664,99.99500274658203,99.99500274658203,99.99500274658203,425
100.01000213623047,100.01000213623047,100.00499725341797,100.00499725341797,100.00499725341797,1351
100.00499725341797,100.00499725341797,100.00499725341797,100.00499725341797,100.00499725341797,39
100.08999633789062,100.08999633789062,99.99500274658203,99.99500274658203,99.99500274658203,1218
100.0000991821289,100.0000991821289,99.98500061035156,99.98500061035156,99.98500061035156,1000
99.98899841308594,99.98999786376953,99.96009826660156,99.96009826660156,99.96009826660156,2345
100.02999877929688,100.02999877929688,100.02999877929688,100.02999877929688,100.02999877929688,10
99.98999786376953,100.0,99.98999786376953,99.99009704589844,99.99009704589844,1414
100.02670288085938,100.02670288085938,100.02670288085938,100.02670288085938,100.02670288085938,2
100.06300354003906,100.06300354003906,100.06300354003906,100.06300354003906,100.06300354003906,2
100.06500244140625,100.06500244140625,100.06500244140625,100.06500244140625,100.06500244140625,2
100.10459899902344,100.10459899902344,100.10459899902344,100.10459899902344,100.10459899902344,2
100.16000366210938,100.16000366210938,100.15499877929688,100.15499877929688,100.15499877929688,102
100.1229019165039,100.1229019165039,100.1229019165039,100.1229019165039,100.1229019165039,2
100.05999755859375,100.07990264892578,100.05000305175781,100.05000305175781,100.05000305175781,751
99.85900115966797,99.87460327148438,99.85900115966797,99.87460327148438,99.87460327148438,109
